,Produktgruppe,Menge,Gewicht,Mass 1,Kunden-Nr.,Land,Zustellercode,Transportschaden
57,INSCHUTZ,1.0,0.0,0.0,18009,DE,TOUR_SPED,0
58,PLISSEE_20,4.0,2.74,291.0,35950,DE,UPS,0
59,PLISSEE_20,4.0,4.33,346.1,27131,DE,UPS,0
60,ROLLO,1.0,1.37,97.3,35950,DE,UPS,0
61,ROLLO,1.0,0.515,146.5,35950,CH,UPS,0
62,PLISSEE_20,2.0,1.45,75.7,17211,DE,UPS,0
63,PLISSEE_20,1.0,1.66,126.7,35950,AT,UPS,0
64,JALOUSIE,1.0,2.33,83.0,23341,DE,UPS,0
65,JALOUSIE,16.0,0.0,444.9,27075,DE,TOUR_SPED,0
66,PLISSEE_20,4.0,1.97,194.8,35950,DE,UPS,0
67,PLISSEE_20,2.0,1.065,38.3,35950,DE,UPS,0
68,JALOUSIE,2.0,14.99,0.0,22951,DE,UPS,0
69,PLISSEE_WA,8.0,4.69,363.5,20499,DE,UPS,0
70,PLISSEE_20,1.0,1.16,89.0,17931,DE,UPS,0
71,ROLLO,1.0,2.56,120.6,35950,DE,UPS,0
72,PLISSEE_20,4.0,0.0,0.0,26528,DE,DHL,0
73,PLISSEE_WA,3.0,2.435,209.10000000000002,35950,DE,UPS,0
74,JALOUSIE,6.0,40.425,0.0,27201,FR,UPS,0
75,ENDKAPPEN,0.6,1.52,0.0,27248,DE,UPS,0
76,INSCHUTZ,1.0,0.0,0.0,21268,DE,TOUR_SPED,0
77,FALTROLLO,5.0,11.695,151.0,22756,CH,UPS_CH,0
78,PLISSEE_WA,3.0,3.205,163.1,35950,DE,UPS,0
79,VARIOROLLO,3.0,0.0,348.0,27744,DE,TOUR_SPED,0
80,PLISSEE_20,1.0,1.04,79.7,35950,DE,UPS,0
81,PLISSEE_20,1.0,1.26,95.1,29653,FR,UPS,0
82,PLISSEE_20,1.0,0.94,73.2,19054,DE,UPS,0
83,INSCHUTZ,1.0,0.0,0.0,15308,DE,TOUR_SPED,0
84,ROLLO,1.0,3.375,142.0,35950,DE,UPS,0
85,PLISSEE_WA,9.0,6.38,61.4,17885,DE,UPS,0
86,ROLLO,2.0,6.29,199.0,22756,CH,UPS_CH,0
87,PLISSEE_20,1.0,2.55,0.0,28984,DE,UPS,0
88,ROLLO,4.0,6.25,295.0,20045,DE,UPS,0
89,PLISSEE_20,4.0,2.99,233.5,28005,DE,UPS,0
90,ROLLO,3.0,7.105,207.0,35950,DE,UPS,0
91,JALOUSIE,1.0,1.65,60.6,15612,DE,UPS,0
92,PLISSEE_20,2.0,0.895,39.7,35950,DE,UPS,0
93,INSCHUTZ,1.0,0.0,0.0,24325,DE,TOUR_SPED,0
94,INSCHUTZ,1.0,0.0,0.0,19590,DE,TOUR_SPED,0
95,KOLLEKTION,46.0,8.81,0.0,24424,LU,UPS,0
96,ROLLO,5.0,6.24,316.9,30099,IT,UPS,0
97,PLISSEE_20,1.0,1.205,84.2,35950,DE,UPS,0
98,PLISSEE_20,2.0,1.515,157.4,35950,DE,UPS,0
99,ROLLO,3.0,4.26,385.5,35950,DE,UPS,0
100,INSCHUTZ,2.0,0.0,0.0,20449,DE,TOUR_SPED,0
101,ROLLO,8.0,11.915,258.0,36974,IT,UPS,0
102,REPARATUR,1.0,1.42,99.9,36989,DE,UPS,0
103,PLISSEE_20,4.0,2.335,111.4,35950,DE,UPS,0
104,FVORHANG,10.0,0.0,802.5,17577,DE,TOUR_SPED,0
105,ROLLO,4.0,3.47,116.0,24214,DE,UPS,0
106,INSCHUTZ,3.0,0.0,0.0,28415,DE,TOUR_SPED,0
107,JALOUSIE,50.0,0.0,0.0,35950,DE,DHL,0
108,PLISSEE_20,18.0,10.52,896.0,22453,DE,UPS,0
109,INSCHUTZ,4.0,0.0,0.0,17011,DE,TOUR_SPED,0
110,PLISSEE_WA,1.0,0.915,78.7,35950,DE,UPS,0
111,PLISSEE_WA,5.0,5.2,256.2,35950,DE,UPS,0
112,ROLLO,2.0,1.805,143.0,35950,DE,UPS,0
113,PLISSEE_WA,1.0,1.3,90.0,27461,DE,UPS,0
114,ROLLO,2.0,9.71,397.5,17853,DE,UPS,0
115,INSCHUTZ,2.0,0.0,0.0,18073,DE,TOUR_SPED,0
116,PLISSEE_20,4.0,2.225,186.4,35950,CH,UPS,0
117,ROLLO,1.0,4.75,150.0,35950,DE,UPS,0
118,PLISSEE_WA,1.0,1.155,84.0,35950,DE,UPS,0
119,INSCHUTZ,4.0,0.0,0.0,21473,DE,TOUR_SPED,0
120,PLISSEE_20,1.0,1.16,108.5,25068,DE,UPS,0
121,ROLLO,4.0,0.165,60.0,35882,FR,UPS,0
122,PLISSEE_20,2.0,2.05,87.5,29139,DE,UPS,0
123,BEFESTIGUN,2.0,0.735,0.0,35950,CH,UPS,0
124,FALTROLLO,1.0,3.58,187.0,16402,DE,UPS,0
125,INSCHUTZ,1.0,0.0,0.0,29451,BE,TOUR_SPED,0
126,PLISSEE_20,2.0,1.23,128.4,20449,DE,UPS,0
127,INSCHUTZ,1.0,0.0,0.0,19355,DE,TOUR_SPED,0
128,PLISSEE_20,3.0,2.92,173.4,35950,DE,UPS,0
129,KOLLEKTION,3.0,4.135,0.0,34978,IT,UPS,0
130,PLISSEE_20,1.0,1.415,96.5,35950,DE,UPS,0
131,REPARATUR,1.0,1.34,90.1,34638,DE,UPS,0
132,JALOUSIE,1.0,1.03,37.7,35545,DE,UPS,0
133,PLISSEE_20,4.0,2.17,65.0,17559,DE,UPS,0
134,PLISSEE_20,5.0,4.15,146.1,35950,AT,UPS,0
135,PLISSEE_20,1.0,1.25,78.0,22398,DE,UPS,0
136,ROLLO,6.0,14.77,267.4,35950,DE,UPS,0
137,ROLLO,7.0,27.229999999999997,148.0,35950,DE,UPS,0
138,PLISSEE_20,6.0,7.435,221.0,27942,DK,UPS,0
139,PLISSEE_WA,4.0,1.41,102.0,19355,DE,UPS,0
140,INSCHUTZ,1.0,0.0,0.0,29469,DE,TOUR_SPED,0
141,ROLLO,2.0,3.92,85.0,35950,DE,UPS,0
142,PLISSEE_20,2.0,0.91,34.2,35950,DE,UPS,0
143,FVORHANG,23.0,0.0,1115.0,29461,DE,TOUR_SPED,0
144,ROLLO,1.0,3.33,116.0,17853,DE,UPS,0
145,PLISSEE_20,1.0,0.92,73.3,28474,DE,UPS,0
146,ROLLO,1.0,6.46,210.0,19055,DE,UPS,0
147,SONSTIGE,1.0,0.0,0.0,35950,DE,DHL,0
148,ROLLO,6.0,10.98,101.0,35950,DE,UPS,0
149,JALOUSIE,3.0,2.38,82.0,18261,DE,UPS,0
150,PLISSEE_20,1.0,2.385,148.0,28474,DE,UPS,0
151,SCHNUR,50.0,0.0,0.0,16099,DE,DHL,0
152,ENDKAPPEN,4.0,0.0,0.0,35950,DE,DHL,0
153,PLISSEE_WA,4.0,3.31,145.8,35950,AT,UPS,0
154,PLISSEE_20,2.0,1.37,53.5,35950,DE,UPS,0
155,JALOUSIE,1.0,1.09,38.5,29653,FR,UPS,0
156,INSCHUTZ,1.0,0.0,0.0,15993,DE,KEP,0
157,PLISSEE_20,1.0,0.845,53.0,35950,DE,UPS,0
158,INSCHUTZ,2.2,1.775,0.0,15187,DE,UPS,0
159,PLISSEE_WA,1.0,2.02,97.3,35950,DE,UPS,0
160,REPARATUR,1.0,2.99,188.0,28339,DE,UPS,0
161,PLISSEE_20,3.0,2.17,130.0,35950,DE,UPS,0
162,ROLLO,2.0,6.49,260.0,35950,DE,UPS,0
163,FVORHANG,11.0,4.06,346.0,26650,DE,UPS,0
164,INSCHUTZ,1.0,0.0,0.0,25735,DE,TOUR_SPED,0
165,KOLLEKTION,3.0,4.18,0.0,30944,DE,UPS,0
166,PLISSEE_20,1.0,1.285,101.0,35950,DE,UPS,0
167,PLISSEE_WA,1.0,1.32,87.0,35950,DE,UPS,0
168,PLISSEE_20,1.0,0.0,0.0,33282,DE,DHL,0
169,INSCHUTZ,1.0,0.0,0.0,16255,DE,TOUR_SPED,0
170,ROLLO,2.0,2.405,93.5,35950,DE,UPS,0
171,PLISSEE_20,1.0,0.93,71.2,35950,DE,UPS,0
172,PLISSEE_20,10.0,4.45,304.6,24178,DE,UPS,0
173,PLISSEE_WA,6.0,3.42,237.8,35950,CH,UPS,0
174,PLISSEE_20,10.0,0.0,0.0,20919,DE,DHL,0
175,INSCHUTZ,4.0,0.0,0.0,30815,DE,TOUR_SPED,0
176,SONSTIGE,1.0,0.0,0.0,15932,DE,DHL,0
177,REPARATUR,1.0,5.465,199.0,18129,DE,UPS,0
178,LAMELLE,10.0,0.0,0.0,33691,FR,DHL,0
179,WERBEMITTE,46.0,7.155,0.0,36155,LU,UPS,0
180,PLISSEE_20,1.0,0.76,47.7,15971,DE,UPS,0
181,PLISSEE_20,1.0,1.23,86.3,15892,DE,UPS,0
182,PLISSEE_20,2.0,0.95,56.5,20443,DE,UPS,0
183,PLISSEE_20,1.0,0.0,0.0,24918,DE,DHL,0
184,PLISSEE_20,2.0,1.53,72.6,29198,DE,UPS,0
185,INSCHUTZ,1.0,0.0,0.0,21576,DE,TOUR_SPED,0
186,INSCHUTZ,4.0,0.0,0.0,16004,DE,TOUR_SPED,0
187,PLISSEE_WA,1.0,1.24,81.5,22674,DE,UPS,0
188,PLISSEE_20,1.0,1.22,89.7,35950,DE,UPS,0
189,ROLLO,1.0,3.045,120.6,35950,DE,UPS,0
190,PLISSEE_20,1.0,1.18,107.7,22674,DE,UPS,0
191,ROLLO,2.0,6.51,237.0,22097,DE,UPS,0
192,KOLLEKTION,3.0,4.23,0.0,30959,FR,UPS,0
193,ROLLO,2.0,5.95,313.0,35950,DE,UPS,0
194,PLISSEE_20,2.0,1.215,95.8,35950,DE,UPS,0
195,PLISSEE_WA,1.0,1.41,73.5,35950,DE,UPS,0
196,PLISSEE_20,32.0,0.0,516.7,24453,DE,TOUR_SPED,0
197,PLISSEE_WA,1.0,3.425,184.7,35950,DE,UPS,0
198,ROLLO,1.0,3.56,103.5,19355,DE,UPS,0
199,PLISSEE_WA,16.0,10.39,582.0,34880,AU,UPS,0
200,PLISSEE_20,1.0,1.3,98.0,24557,DE,UPS,0
201,PLISSEE_20,7.0,6.775,510.0,35950,DE,UPS,0
202,ROLLO,2.0,5.31,181.4,16081,DE,UPS,0
203,ROLLO,8.0,9.145,305.0,33607,IT,UPS,0
204,INSCHUTZ,1.0,0.0,0.0,16411,DE,TOUR_SPED,0
205,PLISSEE_WA,1.0,0.75,52.7,35950,DE,UPS,0
206,PLISSEE_20,2.0,1.31,135.9,15134,DE,UPS,0
207,ROLLO,1.0,6.56,200.0,35950,DE,UPS,0
208,GETRIEBE,1.0,0.0,0.0,26409,DE,DHL,0
209,ROLLO,2.0,5.27,243.0,26497,DE,UPS,0
210,JALOUSIE,3.0,5.26,323.0,21710,DE,UPS,0
211,PLISSEE_20,20.0,0.29,0.0,22756,CH,UPS_CH,0
212,ROLLO,10.0,9.03,231.0,29466,FR,UPS,0
213,PLISSEE_20,3.0,2.29,250.1,34938,DE,UPS,0
214,INSCHUTZ,9.0,0.0,0.0,29469,DE,TOUR_SPED,0
215,JALOUSIE,1.0,2.8,130.0,20351,DE,UPS,0
216,ROLLO,10.0,7.77,377.5,35950,DE,UPS,0
217,LAMELLE,8.0,4.43,200.0,28510,DE,UPS,0
218,ROLLO,1.0,0.0,0.0,35950,DE,DHL,0
219,INSCHUTZ,2.0,0.0,0.0,22021,DE,TOUR_SPED,0
220,PLISSEE_20,4.0,0.0,0.0,24459,DE,DHL,0
221,PLISSEE_20,1.0,1.335,77.7,35950,CH,UPS,0
222,SCHRAUBEN,16.0,0.19,0.0,24568,LU,UPS,0
223,PLISSEE_20,3.0,3.49,127.5,30568,DE,UPS,0
224,REPARATUR,3.0,13.719999999999999,165.0,28026,FR,UPS,0
225,ROLLO,1.0,4.19,188.0,35950,CH,UPS,0
226,ENDKAPPEN,10.0,0.0,0.0,19355,DE,DHL,0
227,INSCHUTZ,4.0,0.0,0.0,34769,DE,TOUR_SPED,0
228,PLISSEE_20,1.0,1.19,95.2,23386,DE,UPS,0
229,INSCHUTZ,5.0,0.0,0.0,17606,DE,TOUR_SPED,0
230,ROLLO,1.0,2.41,155.0,35950,DE,UPS,0
231,ROLLO,2.0,3.365,120.9,35950,DE,UPS,0
232,PLISSEE_WA,4.0,2.97,128.0,35950,DE,UPS,0
233,LAMELLE,12.0,0.0,786.0,35849,DE,TOUR_SPED,0
234,ROLLO,1.0,3.075,138.5,35950,AT,UPS,0
235,LAMELLE,18.0,0.0,570.0,23006,DE,TOUR_SPED,0
236,PLISSEE_20,1.0,0.67,61.0,28440,DE,UPS,0
237,ROLLO,1.0,4.37,180.0,36352,IT,UPS,0
238,PLISSEE_20,7.0,4.82,619.5,15883,DE,UPS,0
239,PLISSEE_20,2.0,1.13,37.7,35950,DE,UPS,0
240,STIFTE,2.0,0.0,0.0,36750,DE,DHL,0
241,ROLLO,12.0,20.674999999999997,275.0,35950,DE,UPS,0
242,PLISSEE_20,4.0,2.35,56.0,16899,DE,UPS,0
243,ROLLO,1.0,3.775,113.0,35950,AT,UPS,0
244,INSCHUTZ,4.0,0.0,0.0,24499,DE,TOUR_SPED,0
245,PLISSEE_WA,1.0,1.435,117.2,35950,DE,UPS,0
246,BEFESTIGUN,4.0,0.0,0.0,35950,DE,DHL,0
247,FVORHANG,2.0,0.82,53.0,36752,FR,UPS,0
248,PLISSEE_20,6.0,5.375,203.0,35950,DE,UPS,0
249,PLISSEE_20,2.0,1.24,56.7,20913,DE,UPS,0
250,PLISSEE_20,1.0,1.82,91.5,19595,DE,UPS,0
251,PLISSEE_WA,3.0,3.93,285.6,19096,DE,UPS,0
252,ROLLO,2.0,4.75,127.0,35950,DE,UPS,0
253,ROLLO,1.0,3.86,147.0,26404,DE,UPS,0
254,PLISSEE_20,1.0,1.95,99.5,26007,DE,UPS,0
255,LAMELLE,69.0,0.0,355.0,15752,DE,TOUR_SPED,0
256,ROLLO,3.0,6.21,155.0,35950,DE,UPS,0
257,LAMELLE,1.0,0.0,474.0,22316,DE,TOUR_SPED,0
258,PLISSEE_20,1.0,0.685,52.2,35950,AT,UPS,0
259,ROLLO,4.0,2.025,218.0,35950,DE,UPS,0
260,VARIOROLLO,3.0,0.0,206.0,22009,DE,TOUR_SPED,0
261,PLISSEE_20,7.0,4.66,425.0,16098,DE,UPS,0
262,KOLLEKTION,2.0,1.045,0.0,22756,CH,UPS_CH,0
263,PLISSEE_20,2.0,1.935,171.4,35950,AT,UPS,0
264,ROLLO,2.0,0.685,104.7,35950,DE,UPS,0
265,KOLLEKTION,3.0,1.8,0.0,34867,BE,UPS,0
266,REPARATUR,1.0,0.89,57.0,36846,DE,UPS,0
267,JALOUSIE,15.120000000000001,4.145,227.6,22787,DE,UPS,0
268,PLISSEE_20,2.0,0.74,33.1,35950,DE,UPS,0
269,LAMELLE,3.0,7.234999999999999,350.0,16402,DE,UPS,0
270,SCHNUR,100.0,0.21,0.0,19422,DE,UPS,0
271,PLISSEE_20,4.0,3.39,248.0,15728,DE,UPS,0
272,JALOUSIE,4.888,30.85,80.0,33229,BE,UPS,0
273,PLISSEE_WA,1.0,0.92,71.9,26743,DE,UPS,0
274,PLISSEE_WA,2.0,1.555,54.2,35950,DE,UPS,0
275,PLISSEE_WA,8.0,4.69,416.1,27629,DE,UPS,0
276,PLISSEE_WA,7.0,13.105,413.9,17931,DE,UPS,0
277,PLISSEE_20,1.0,1.21,97.1,24178,DE,UPS,0
278,PLISSEE_20,3.0,2.58,158.0,35950,CH,UPS,0
279,ROLLO,1.0,6.96,240.0,35950,DE,UPS,0
280,PLISSEE_WA,1.0,1.225,102.7,35950,DE,UPS,0
281,PLISSEE_20,1.0,1.125,85.2,35950,DE,UPS,0
282,PLISSEE_20,6.0,0.0,51.0,19268,DE,AUSL._FA,0
283,ROLLO,1.0,2.385,124.0,35950,AT,UPS,0
284,ROLLO,2.0,5.45,187.8,29011,FR,UPS,0
285,ROLLO,1.0,1.27,80.0,35950,DE,UPS,0
286,PLISSEE_20,5.0,6.7,353.6,19355,DE,UPS,0
287,PLISSEE_20,22.0,13.985,923.3000000000001,15689,DE,UPS,0
288,PLISSEE_20,1.0,1.11,94.5,15803,DE,UPS,0
289,ROLLO,11.0,23.915,477.0,35950,DE,UPS,0
290,ROLLO,3.0,2.95,248.0,18627,DE,UPS,0
291,PLISSEE_20,4.0,6.02,508.1,17312,DE,UPS,0
292,REPARATUR,2.0,3.64,162.6,15932,DE,UPS,0
293,FVORHANG,8.0,2.45,235.0,26428,DE,UPS,0
294,PLISSEE_20,3.0,2.13,68.0,26241,DE,UPS,0
295,FVORHANG,1.0,0.0,330.0,17577,DE,TOUR_SPED,0
296,PLISSEE_20,1.0,0.79,60.0,25532,DE,UPS,0
297,ROLLO,3.0,0.09,24.0,35950,CH,UPS,0
298,ROLLO,4.0,12.09,506.7,33046,IT,UPS,0
299,PLISSEE_20,1.0,1.48,96.8,19955,DE,UPS,0
300,PLISSEE_20,1.0,1.465,112.2,35950,DE,UPS,0
301,PLISSEE_20,4.0,2.13,51.7,15971,DE,UPS,0
302,PLISSEE_20,1.0,0.0,0.0,34938,DE,DHL,0
303,ROLLO,1.0,0.78,52.0,22674,DE,UPS,0
304,PLISSEE_WA,1.0,3.125,211.8,35950,DE,UPS,0
305,PLISSEE_20,2.0,1.46,99.19999999999999,20899,DE,UPS,0
306,ROLLO,1.0,3.11,200.0,35950,DE,UPS,0
307,ROLLO,2.0,6.095,180.0,35950,DE,UPS,0
308,ROLLO,1.0,2.27,98.4,25663,DE,UPS,0
309,ROLLO,1.0,0.0,300.0,21054,DE,TOUR_SPED,0
310,PLISSEE_20,1.0,1.35,105.0,34054,DE,UPS,0
311,INSCHUTZ,20.0,0.0,0.0,17577,DE,DHL,0
312,ROLLO,3.0,3.65,198.0,35950,DE,UPS,0
313,PLISSEE_20,2.0,1.63,164.4,35950,AT,UPS,0
314,PLISSEE_20,2.0,2.69,258.0,29468,DE,UPS,0
315,ZUBEHÖRBEU,1.0,0.0,0.0,35950,DE,DHL,0
316,PLISSEE_WA,3.0,3.98,138.9,35950,CH,UPS,1
317,ROLLO,1.0,3.68,141.8,23533,DE,UPS,0
318,ROLLO,2.0,5.695,140.0,17332,DE,UPS,0
319,PLISSEE_20,4.0,1.93,93.6,26007,DE,UPS,0
320,PLISSEE_20,3.0,1.79,108.6,33596,IT,UPS,0
321,PLISSEE_20,2.0,2.455,95.8,35950,DE,UPS,0
322,PLISSEE_20,2.0,1.06,52.0,23252,DE,UPS,0
323,PLISSEE_20,1.0,0.97,73.7,25386,DE,UPS,0
324,PLISSEE_20,1.0,1.46,93.2,24210,DE,UPS,0
325,PLISSEE_20,1.0,1.02,76.1,35950,DE,UPS,0
326,ROLLO,1.0,5.795,200.0,35950,DE,UPS,0
327,PLISSEE_20,1.0,0.9,73.4,18211,DE,UPS,0
328,ROLLO,1.0,0.695,52.4,35950,DE,UPS,0
329,ROLLO,1.0,1.75,103.8,24493,DE,UPS,0
330,JALOUSIE,6.0,4.91,227.0,25524,DE,UPS,0
331,PLISSEE_WA,1.0,0.805,57.7,35950,DE,UPS,0
332,ROLLO,1.0,2.915,91.0,35950,CH,UPS,0
333,INSCHUTZ,3.0,0.0,256.0,15264,DE,TOUR_SPED,0
334,ROLLO,1.0,2.28,125.8,35950,DE,UPS,0
335,INSCHUTZ,1.0,0.0,0.0,18455,DE,TOUR_SPED,0
336,PLISSEE_WA,8.0,5.34,246.60000000000002,35950,AT,UPS,0
337,PLISSEE_WA,2.0,3.82,240.5,22515,DE,UPS,0
338,ROLLO,2.0,3.755,248.0,35950,DE,UPS,0
339,ROLLO,3.0,6.39,284.0,25605,DE,UPS,0
340,ROLLO,2.0,7.15,243.0,25735,DE,UPS,0
341,PLISSEE_20,1.0,1.06,65.9,15134,DE,UPS,0
342,PLISSEE_20,2.0,1.81,142.0,29139,DE,UPS,0
343,PLISSEE_20,10.0,5.74,336.0,15308,DE,UPS,0
344,JALOUSIE,2.0,4.85,110.0,19955,DE,UPS,0
345,ROLLO,1.0,2.675,85.0,35950,DE,UPS,0
346,PLISSEE_WA,4.0,2.44,109.2,16411,DE,UPS,0
347,INSCHUTZ,1.9,1.74,0.0,15264,DE,UPS,0
348,PLISSEE_20,2.0,2.06,181.2,35950,DE,UPS,0
349,PLISSEE_20,9.0,2.61,406.09999999999997,16402,DE,UPS,0
350,PLISSEE_20,4.0,1.55,111.8,35527,DE,UPS,0
351,PLISSEE_20,1.0,0.81,50.0,35950,DE,UPS,0
352,KOLLEKTION,3.0,4.175,0.0,15582,DE,UPS,0
353,PLISSEE_20,6.0,10.415,538.0,28984,DE,UPS,0
354,PLISSEE_20,2.0,3.35,73.4,22919,DE,UPS,0
355,PLISSEE_20,2.0,0.99,48.0,23057,DE,UPS,0
356,PLISSEE_20,16.0,8.41,568.1,17577,DE,UPS,0
357,PLISSEE_WA,3.0,3.52,121.7,35950,DE,UPS,0
358,PLISSEE_20,2.0,1.04,42.1,15094,DE,UPS,0
359,ROLLO,1.0,1.605,110.0,35950,DE,UPS,0
360,ROLLO,3.0,4.88,111.0,29677,FR,UPS,0
361,LAMELLE,2.0,0.0,510.0,17224,DE,TOUR_SPED,0
362,ROLLO,4.0,3.425,235.0,35950,DE,UPS,0
363,PLISSEE_20,14.0,1.19,123.0,26409,DE,UPS,0
364,PLISSEE_20,1.0,0.85,69.7,35950,DE,UPS,0
365,PLISSEE_20,8.0,4.44,223.9,36048,DE,UPS,0
366,INSCHUTZ,7.0,0.0,0.0,28272,DE,TOUR_SPED,0
367,PLISSEE_20,4.0,2.1,54.2,35950,DE,UPS,0
368,ROLLO,16.0,2.285,169.1,17089,DE,UPS,0
369,ROLLO,2.0,6.8,206.5,28984,DE,UPS,1
370,ROLLO,1.0,2.16,83.8,35950,DE,UPS,1
371,PLISSEE_20,1.0,1.99,116.0,18455,DE,UPS,0
372,INSCHUTZ,4.0,0.0,0.0,27461,DE,TOUR_SPED,0
373,ROLLO,2.0,2.73,195.0,35950,DE,UPS,0
374,ROLLO,3.0,7.805,200.0,35950,DE,UPS,0
375,PLISSEE_20,1.0,0.72,57.7,15399,DE,UPS,0
376,PLISSEE_20,4.0,3.41,322.6,34312,DE,UPS,0
377,PLISSEE_WA,1.0,1.28,84.5,35950,AT,UPS,0
378,ROLLO,1.0,3.02,150.0,35950,DE,UPS,0
379,SONSTIGE,1.0,0.0,0.0,35950,DE,DHL,0
380,INSCHUTZ,7.0,0.0,0.0,32388,DE,TOUR_SPED,0
381,INSCHUTZ,1.0,6.32,0.0,20727,DE,UPS,0
382,FVORHANG,14.0,8.79,480.0,18011,DE,UPS,0
383,ROLLO,2.0,5.6,196.7,15054,DE,UPS,0
384,PLISSEE_20,1.0,1.26,90.0,25735,DE,UPS,0
385,PLISSEE_20,1.0,1.11,93.5,23005,DE,UPS,0
386,INSCHUTZ,3.0,0.0,0.0,21074,DE,TOUR_SPED,0
387,FVORHANG,1.0,0.0,0.0,20974,DE,DHL,0
388,FVORHANG,21.0,0.0,681.7,28016,DE,TOUR_SPED,0
389,LAMELLE,36.0,6.53,0.0,19055,DE,UPS,0
390,PLISSEE_20,2.0,1.96,182.4,30233,IT,UPS,0
391,PROSPEKTE,20.0,4.935,0.0,16790,DE,UPS,0
392,PLISSEE_WA,2.0,4.945,128.0,35950,DE,UPS,0
393,INSCHUTZ,1.0,0.0,0.0,34741,DE,TOUR_SPED,0
394,ROLLO,4.0,6.49,168.0,35950,DE,UPS,0
395,ROLLO,8.0,7.995,300.0,22945,DE,UPS,0
